user_id,user_name,username,num_posts,num_comments_on_posts,num_todos,num_completed,completion_rate
1,Leanne Graham,Bret,10,50,20,11,0.55
2,Ervin Howell,Antonette,10,50,20,8,0.4
3,Clementine Bauch,Samantha,10,50,20,7,0.35
4,Patricia Lebsack,Karianne,10,50,20,6,0.3
5,Chelsey Dietrich,Kamren,10,50,20,12,0.6
6,Mrs. Dennis Schulist,Leopoldo_Corkery,10,50,20,6,0.3
7,Kurtis Weissnat,Elwyn.Skiles,10,50,20,9,0.45
8,Nicholas Runolfsdottir V,Maxime_Nienow,10,50,20,11,0.55
9,Glenna Reichert,Delphine,10,50,20,8,0.4
10,Clementina DuBuque,Moriah.Stanton,10,50,20,12,0.6
